0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:16 +0800] "POST /OrderTakeOutFood/DisplayFoodBystoreServlet HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:16 +0800] "GET /OrderTakeOutFood/upload/store/15/0/e4586e49-6c41-4a83-9062-2507f2368b66_u=506995743,1274040376&fm=58&bpow=746&bpoh=533.jpg HTTP/1.1" 404 1228
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:16 +0800] "GET /OrderTakeOutFood HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:16 +0800] "GET /OrderTakeOutFood/image/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:16 +0800] "GET /OrderTakeOutFood/image/down.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:16 +0800] "GET /OrderTakeOutFood/upload/food/6/0/3448f547-d0ff-4cb7-a0b2-8785d6b8c7e8_e391c41c890111e6a9a10242ac110002_1000w_663h.jpg HTTP/1.1" 404 1211
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:16 +0800] "GET /OrderTakeOutFood/ HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:10 +0800] "GET /OrderTakeOutFood/sumlist.jsp?sumlist=%E6%8B%8C%E9%9D%A2%20%E8%92%B8%E9%A5%BA%20&sumlistp=7%2012%20&tolprice=19.00 HTTP/1.1" 200 19775
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:10 +0800] "GET /OrderTakeOutFood/js/jquery.imagezoom.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:10 +0800] "GET /OrderTakeOutFood/js/jquery.flexslider.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:10 +0800] "GET /OrderTakeOutFood/js/list.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:10 +0800] "GET /OrderTakeOutFood/css/addstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:10 +0800] "GET /OrderTakeOutFood/css/personal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:10 +0800] "GET /OrderTakeOutFood/js/verify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:10 +0800] "GET /OrderTakeOutFood/js/jquery.min1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:11 +0800] "GET /OrderTakeOutFood/js/jquery.imagezoom.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:11 +0800] "GET /OrderTakeOutFood/js/jquery.flexslider.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:11 +0800] "GET /OrderTakeOutFood/js/list.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:11 +0800] "GET /OrderTakeOutFood/image/peraddbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:11 +0800] "GET /OrderTakeOutFood/css/image/addicon1.png HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:11 +0800] "GET /OrderTakeOutFood/css/image/addicon.png HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:11 +0800] "GET /OrderTakeOutFood/css/image/addicon2.png HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:29 +0800] "POST /OrderTakeOutFood/CustomerAddOrderServlet HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:30 +0800] "GET /OrderTakeOutFood/erweima.jsp HTTP/1.1" 200 6146
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:30 +0800] "GET /OrderTakeOutFood/image/erweima.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:32 +0800] "GET /OrderTakeOutFood/home.jsp HTTP/1.1" 200 9916
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:32 +0800] "GET /OrderTakeOutFood/StoreAllDisplayServlet HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:32 +0800] "GET /OrderTakeOutFood/upload/store/15/0/e4586e49-6c41-4a83-9062-2507f2368b66_u=506995743,1274040376&fm=58&bpow=746&bpoh=533.jpg HTTP/1.1" 404 1228
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:32 +0800] "GET /OrderTakeOutFood/upload/store/8/11/63ae922c-b58c-4605-835e-19e9754c7d68_DA05BC9BF4A703C5.jpg HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:32 +0800] "GET /OrderTakeOutFood/upload/store/9/1/7e524411-211c-40fa-b6c0-7319b59c88bb_u=3375179229,34225880&fm=58&s=02B4E023CED5818210909DD30100C0A3&bpow=121&bpoh=75.jpg HTTP/1.1" 404 1264
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:32 +0800] "GET /OrderTakeOutFood/upload/store/13/9/6a973d57-bfa7-4c52-b354-381ba92cc688_u=1157970545,2696041329&fm=202&mola=new&crop=v1.jpg HTTP/1.1" 404 1229
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:34 +0800] "GET /OrderTakeOutFood/ddetail.jsp HTTP/1.1" 200 13363
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:34 +0800] "GET /OrderTakeOutFood/image/dh2.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:34 +0800] "GET /OrderTakeOutFood/image/zhanghao2.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:34 +0800] "GET /OrderTakeOutFood/CustomerDisplayOrderServlet HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:34 +0800] "GET /upload/store/8/11/63ae922c-b58c-4605-835e-19e9754c7d68_DA05BC9BF4A703C5.jpg HTTP/1.1" 404 1165
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:34 +0800] "GET /upload/store/15/0/e4586e49-6c41-4a83-9062-2507f2368b66_u=506995743,1274040376&fm=58&bpow=746&bpoh=533.jpg HTTP/1.1" 404 1207
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:43:59 +0800] "GET /OrderTakeOutFood/dp_login.jsp HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:04 +0800] "POST /OrderTakeOutFood/StoreLoginServlet HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:05 +0800] "GET /OrderTakeOutFood/dp_food.jsp?sname=user HTTP/1.1" 200 28507
